Name,Illumination,Contrast,Clarity,Artifacts,Field,Quality,Left,Right,left_or_right,fundus_image_type
DR-001.jpg,1,1,1,0,1,0,1,0,left,ultrawidefield
DR-002.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-003.jpg,1,0,0,0,0,0,1,0,left,ultrawidefield
DR-004.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-005.jpg,0,1,1,1,1,1,1,0,left,ultrawidefield
DR-006.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-007.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
DR-008.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-009.jpg,0,0,1,0,1,0,1,0,left,ultrawidefield
DR-010.jpg,0,1,1,0,1,1,0,1,right,ultrawidefield
DR-011.jpg,0,1,1,1,1,1,1,0,left,ultrawidefield
DR-012.jpg,0,1,1,1,1,1,0,1,right,ultrawidefield
DR-013.jpg,0,0,1,1,1,1,1,0,left,ultrawidefield
DR-014.jpg,0,1,1,1,1,1,0,1,right,ultrawidefield
DR-015.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
DR-016.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-017.jpg,1,1,1,0,1,1,1,0,left,ultrawidefield
DR-018.jpg,1,1,1,0,1,1,0,1,right,ultrawidefield
DR-019.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
DR-020.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-021.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-022.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
DR-023.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
DR-024.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-025.jpg,1,0,0,0,0,0,1,0,left,ultrawidefield
DR-026.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-027.jpg,1,0,1,1,1,1,1,0,left,ultrawidefield
DR-028.jpg,0,0,0,0,0,0,0,1,right,ultrawidefield
DR-029.jpg,1,1,1,0,1,1,0,1,right,ultrawidefield
DR-030.jpg,1,0,1,1,1,1,1,0,left,ultrawidefield
DR-031.jpg,1,1,1,0,1,1,0,1,right,ultrawidefield
DR-032.jpg,1,0,1,0,1,1,0,1,right,ultrawidefield
DR-033.jpg,1,1,1,0,1,1,1,0,left,ultrawidefield
DR-034.jpg,0,0,0,0,0,0,1,0,left,ultrawidefield
DR-035.jpg,0,1,0,0,0,1,0,1,right,ultrawidefield
DR-036.jpg,1,1,1,0,1,1,0,1,right,ultrawidefield
DR-037.jpg,0,1,1,0,1,1,1,0,left,ultrawidefield
DR-038.jpg,1,1,1,0,1,1,0,1,right,ultrawidefield
DR-039.jpg,1,0,0,1,0,0,1,0,left,ultrawidefield
DR-040.jpg,1,0,1,0,1,0,0,1,right,ultrawidefield
DR-041.jpg,1,0,1,1,1,1,1,0,left,ultrawidefield
DR-042.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-043.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
DR-044.jpg,1,0,1,0,1,0,0,1,right,ultrawidefield
DR-045.jpg,1,0,0,0,0,1,1,0,left,ultrawidefield
DR-046.jpg,1,0,1,0,1,1,0,1,right,ultrawidefield
DR-047.jpg,1,1,1,0,1,1,1,0,left,ultrawidefield
DR-048.jpg,1,1,1,0,1,0,0,1,right,ultrawidefield
DR-049.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-050.jpg,0,1,1,0,1,1,1,0,left,ultrawidefield
DR-051.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-052.jpg,1,0,1,0,1,1,1,0,left,ultrawidefield
DR-053.jpg,0,0,1,0,1,0,0,1,right,ultrawidefield
DR-054.jpg,1,1,1,0,1,1,1,0,left,ultrawidefield
DR-055.jpg,1,1,1,1,1,1,0,1,right,ultrawidefield
DR-056.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
DR-057.jpg,0,0,1,0,1,1,0,1,right,ultrawidefield
DR-058.jpg,1,0,0,1,0,0,0,1,right,ultrawidefield
DR-059.jpg,0,1,1,0,1,0,1,0,left,ultrawidefield
DR-060.jpg,1,0,1,1,1,1,0,1,right,ultrawidefield
DR-061.jpg,1,1,1,1,1,1,1,0,left,ultrawidefield
